Category;Sentence;
small_talk;The weather's been great for dining outdoors, hasn't it?;
small_talk;Are you excited about the concert happening downtown tonight?;
small_talk;I always feel refreshed after a beach vacation, how about you?;
small_talk;Good evening! Ready for a relaxing meal after a day's work?;
small_talk;This sunny weather really makes the city shine, don't you think?;
small_talk;Hello there! Any fun plans for the weekend?;
small_talk;Have you had a chance to visit the new art exhibit in town?;
small_talk;I'm looking forward to the food festival this month, are you going?;
small_talk;A good day for a hot cup of coffee and warm conversations, right?;
small_talk;Did you catch the game last night at the sports bar across the street?;
small_talk;I heard it might snow tomorrow, perfect for a hot meal here.;
small_talk;Lovely day for a walk in the park before dinner, isn't it?;
small_talk;Isn't it nice to see the city bustling again after the holidays?;
small_talk;Good afternoon! Have you been enjoying the sunny weather lately?;
small_talk;Looks like we're in for a chilly evening, great for a warm dinner.;
small_talk;I hope you're staying cool during this heatwave with some cold drinks!;
small_talk;It's been a rainy week, perfect for trying our warm soups.;
small_talk;Have you tried the new hiking trail that opened up nearby?;
small_talk;Such a beautiful spring we're having this year, perfect for picnics!;
small_talk;Do you prefer a winter vacation skiing or a summer one at the beach?;
small_talk;How do you like to spend your days when the weather is this nice?;
small_talk;Planning any trips this year? The mountains are calling!;
small_talk;Nothing like enjoying the local cuisine on a vacation, right?;
small_talk;I love a good concert in the park on a summer evening, do you?;
small_talk;Hello! It's a beautiful day to try something new, wouldn't you say?;
small_talk;This cool breeze is a nice change from last week's heat, isn't it?;
small_talk;I'm thinking of a beach getaway next weekend, what are your plans?;
small_talk;The fall colors make for a great backdrop for outdoor dining, don't they?;
small_talk;I love the festive atmosphere in the city at this time of year, do you?;
small_talk;Spring always brings out the best in our garden patio area.;
reservation;Can I book a table for two with a view for tonight?;
reservation;I'd like to reserve a table for a group of six next Wednesday.;
reservation;Do you have availability for a party of eight this weekend?;
reservation;Could I make a reservation for an anniversary dinner next month?;
reservation;I need to update my reservation to include two more guests, is that possible?;
reservation;Is it too late to book a table for four for tomorrow's lunch?;
reservation;I'm looking to reserve a quiet corner for a business meeting, can you accommodate?;
reservation;Can we get a table close to the live band playing on Friday?;
reservation;How far in advance do I need to reserve for a birthday party?;
reservation;Are there any private dining rooms available for reservation next week?;
reservation;I would like to book your private dining experience for my engagement party.;
reservation;Could we reserve a spot on the terrace for our dinner next Saturday?;
reservation;What's the latest I can reserve for dinner on a weekday?;
reservation;Is it possible to reserve seating for a large family gathering?;
reservation;Can I reserve a table by the fireplace for a romantic dinner?;
reservation;I'd like to book a brunch spot for Mother's Day; do you have any openings?
reservation;Can we reserve a table near the window for our company dinner?;
reservation;I need to reserve a spot for a special dinner, can you help me with that?;
reservation;How many days in advance should I reserve for a weekend dinner?;
reservation;Can you accommodate a reservation for a large group with children?;
information;What are the signature dishes on your menu this season?;
information;Could you tell me the address of your restaurant?;
information;What are your operating hours on Sundays?;
information;Can you provide information about your gluten-free menu options?;
information;How do I get to your restaurant from the downtown area?;
information;Do you offer a separate menu for lunch and dinner?;
information;What time do you start serving breakfast on weekends?;
information;I'm looking for your daily specials, where can I find them?;
information;Can you tell me more about your farm-to-table menu items?;
information;Is there a dress code for dining at your restaurant?;
information;Where can I find nutritional information for your dishes?;
information;Do you have options for diners with food allergies?;
information;What's the best way to reach your restaurant by public transport?;
information;Can you accommodate special dietary requests?;
information;Are children welcome at your restaurant during dinner hours?;
information;Do you have any house-made desserts on the menu?;
information;What are the most popular items on your menu right now?;
information;How close is the nearest parking to your restaurant?;
information;Are you currently offering any seasonal promotions or discounts?;
information;What are the vegan options available on your menu?;
information;What are the specialties of your head chef?;
information;Could you give me directions to your restaurant from the central station?;
information;What's the ambiance of your dining area?;
information;Do you have any recommendations for a light dinner on your menu?;
information;What kind of live entertainment do you offer and on what days?;
information;Can you tell me the address and phone number for reservations?;
small_talk;Are you looking forward to any special events this season?;
small_talk;I'm always amazed by the autumn foliage, aren't you?;
small_talk;Spring flowers seem to brighten up the whole city.;
small_talk;Summer nights are perfect for outdoor concerts, don't you think?;
small_talk;This weather makes me think of cozy winter evenings by the fire.;
small_talk;Have you visited any interesting places lately?;
small_talk;I'm thinking of taking a cooking class this weekend, how about you?;
small_talk;There's a new art exhibit in town that's supposed to be wonderful.;
small_talk;I heard the local theater group is putting on a great show this month.;
small_talk;The local sports team is playing tonight, are you a fan?;
small_talk;This year's music festival lineup looks exciting, are you going?;
small_talk;Have you tried any new hobbies recently?;
small_talk;I'm planning a road trip next month, any destination recommendations?;
small_talk;A long weekend is coming up, any plans?;
reservation;Could you accommodate a window table for our anniversary dinner?;
reservation;I'd like to book a high chair for our dinner reservation, is that possible?;
reservation;Is it possible to reserve a table for a late-night dinner?;
reservation;Can I reserve a table near the garden area?;
information;Do you have any house specialties that are a must-try?;
information;What vegan dishes do you recommend from your menu?;
information;Can you accommodate a group of 15 for a corporate event?;
information;Do you have a private room for special occasions?;
small_talk;How do you like to spend a rainy day?;
small_talk;Planning any special activities for the upcoming holiday?;
small_talk;Isn't it exciting to see the city come alive in the spring?;
small_talk;Do you have any travel destinations on your bucket list?;
small_talk;I'm looking forward to trying some winter sports this year, are you?;
small_talk;Have you been to any good concerts or events lately?;
small_talk;There's a new café that opened nearby, have you checked it out?;
small_talk;I heard there's a meteor shower visible tonight, will you watch it?;
small_talk;I'm thinking of joining a book club, do you enjoy reading?;
small_talk;Have you ever been to a wine tasting event?;
small_talk;What's your favorite way to relax after a long week?;
small_talk;Do you enjoy outdoor activities like hiking or biking?;
small_talk;Are you watching any interesting series or movies these days?;
small_talk;I love autumn, the changing leaves are so beautiful.;
small_talk;The farmers' market has been great this season, have you visited?;
reservation;I'd like to make a lunch reservation for next Tuesday.;
reservation;Can I book a table with a view for a special occasion?;
reservation;Is it possible to book a chef's table experience at your restaurant?;
