Category,Sentence
menu,What are your vegan options menu?
menu,Is there a special menu for kids menu ?
menu,Do you have gluten-free desserts? Menu
menu,Can I get the recipe for your famous lasagna? Menu
menu,Are your ingredients locally sourced? Menu
menu,Do you serve organic food? Menu
menu,What's the chef's special for today? Menu
menu,What is on the menu ? Menu
menu,Do you offer any combo meals? Menu
menu,Do you have a seasonal menu? Menu 
location,Where is the nearest parking to your restaurant?  Location located address
location,Is your restaurant wheelchair accessible?  Location located address
location,How far are you from the city center?  Location located address
location,Do you have outdoor seating?  Location located address
location,Are you close to public transport stops?  Location located address
location,Is there a landmark nearby for easy navigation?  Location located address
location,Do you have a branch in the suburbs?  Location located address
location,How do I get to your restaurant from the train station?  Location located address
location,Are pets allowed in the outdoor area?  Location located address
location,Is there bike parking available?  Location located address
hours,What time do you open on weekends? Open hours
hours,Are you open late on Fridays? Open hours
hours,What are your hours on holidays? Open hours
hours,Do you serve brunch on Sundays? Open hours
hours,Is there a best time to avoid waiting for a table? Open hours
hours,What time is the last order taken? Open hours
hours,Are you open for lunch every day? Open hours
hours,Do you close earlier on weekdays? Open hours
hours,What's the earliest time I can book a breakfast meeting? Open hours
hours,Do you have different hours in winter? Open hours
payment,Can I pay with a credit card?
payment,Do you accept contactless payments?
payment,Is there a discount for cash payments?
payment,Can I split the bill across multiple cards?
payment,Do you offer gift cards?
payment,Can I pay using a mobile app?
payment,Do you provide receipts for corporate accounts?
payment,Is there a service charge included in the bill?
payment,Can I tip with my card?
payment,Do you have a loyalty program with payment rewards menu?
menu,Are there vegetarian options available menu?
menu,What seafood dishes are featured tonight menu ?
menu,Can I order a custom pizza menu?
menu,Do you offer lactose-free milk for coffee menu ?
menu,Are there any sugar-free dessert options menu ?
menu,Do you use any artificial additives in your dishes menu?
menu,What are your gluten-free pasta options menu?
menu,Do you offer buffet style dining menu ?
menu,Can I have a list of your organic wines menu?
menu,What's the best dish for someone who loves spicy food menu?
location,Do you offer valet parking services? Location located address
location,Is there a nearby public transport station adress ?  Location located address
location,Can you provide directions from the city hall? Location located address
location,Is your location suitable for large buses or coaches?  Location located address
location,Do you have a view of the river or lake?  Location located address
location,Are there nearby attractions for tourists?  Location located address
location,Is it safe to walk in the area at night?  Location located address
location,What's the best route to your restaurant from the north side of the city?
location,Is there a hotel nearby for overnight stays?  Location located address
location,Do you have an indoor waiting area for rideshares?  Location located address
hours,Are you open on New Year's Day?
hours,What are the busiest times on Saturday?
hours,Can we make a reservation for late-night dining?
hours,Do you serve coffee and pastries in the morning?
hours,What are the lunch hours on weekdays?
hours,Are you open during major sports events?
hours,What are the last call hours for alcohol?
hours,Are kitchen hours different from the restaurant hours?
hours,Do you have early bird specials?
hours,Is there a time limit for dining during peak hours?
payment,Do you have any surcharges for card payments?
payment,Can I pay in a foreign currency?
payment,Is there a minimum amount for card payments?
payment,Do you offer discounts for local residents?
payment,Can I pre-pay for a reservation?
payment,Is there an online payment option for takeout orders?
payment,Are there any additional charges for room service?
payment,Do you accept traveler's checks?
payment,Can you split a check for large groups?
payment,Do you have a cash-back service?
