Category;Sentence
Greeting;Hello, how are you?
Weather;Nice weather today.
Weekend Plans;Got any plans for the weekend?
General Inquiry;How's everything going?
Compliment;I like your outfit.
Greeting;Hi there!
Weather;It looks like it's going to rain.
Weekend Plans;What are you doing this Saturday?
General Inquiry;What's new with you?
Compliment;You did a great job!
Greeting;Good to see you!
Weather;It's quite sunny outside.
Weekend Plans;Are you free this weekend?
General Inquiry;How's your day been?
Compliment;Your work is impressive.
Greeting;Hey, what's up?
Weather;Do you think it will snow?
Weekend Plans;Let's do something fun this weekend!
General Inquiry;Anything exciting happening?
Compliment;I love your sense of humor.
Greeting;Greetings!
Weather;It's a bit chilly today, isn't it?
Weekend Plans;Any weekend plans?
General Inquiry;How's life treating you?
Compliment;You have a nice smile.
Greeting;Hello, how are you?
Weather;Nice weather today.
Weekend Plans;Got any plans for the weekend?
General Inquiry;How's everything going?
Compliment;I like your outfit.
Greeting;Hi there!
Weather;It looks like it's going to rain.
Weekend Plans;What are you doing this Saturday?
General Inquiry;What's new with you?
Compliment;You did a great job!
Greeting;Good to see you!
Weather;It's quite sunny outside.
Weekend Plans;Are you free this weekend?
General Inquiry;How's your day been?
Compliment;Your work is impressive.
Greeting;Hey, what's up?
Weather;Do you think it will snow?
Weekend Plans;Let's do something fun this weekend!
General Inquiry;Anything exciting happening?
Compliment;I love your sense of humor.
Greeting;Greetings!
Weather;It's a bit chilly today, isn't it?
Weekend Plans;Any weekend plans?
General Inquiry;How's life treating you?
Compliment;You have a nice smile.
Greeting;Hello, how are you?
Weather;Nice weather today.
Weekend Plans;Got any plans for the weekend?
General Inquiry;How's everything going?
Compliment;I like your outfit.
Greeting;Hi there!
Weather;It looks like it's going to rain.
Weekend Plans;What are you doing this Saturday?
General Inquiry;What's new with you?
Compliment;You did a great job!
Greeting;Good to see you!
Weather;It's quite sunny outside.
Weekend Plans;Are you free this weekend?
General Inquiry;How's your day been?
Compliment;Your work is impressive.
Greeting;Hey, what's up?
Weather;Do you think it will snow?
Weekend Plans;Let's do something fun this weekend!
General Inquiry;Anything exciting happening?
Compliment;I love your sense of humor.
Greeting;Greetings!
Weather;It's a bit chilly today, isn't it?
Weekend Plans;Any weekend plans?
General Inquiry;How's life treating you?
Compliment;You have a nice smile.
Greeting;Hello, how are you?
Weather;Nice weather today.
Weekend Plans;Got any plans for the weekend?
General Inquiry;How's everything going?
Compliment;I like your outfit.
Greeting;Hi there!
Weather;It looks like it's going to rain.
Weekend Plans;What are you doing this Saturday?
General Inquiry;What's new with you?
Compliment;You did a great job!
Greeting;Good to see you!
Weather;It's quite sunny outside.
Weekend Plans;Are you free this weekend?
General Inquiry;How's your day been?
Compliment;Your work is impressive.
Greeting;Hey, what's up?
Weather;Do you think it will snow?
Weekend Plans;Let's do something fun this weekend!
General Inquiry;Anything exciting happening?
Compliment;I love your sense of humor.
Greeting;Greetings!
Weather;It's a bit chilly today, isn't it?
Weekend Plans;Any weekend plans?
General Inquiry;How's life treating you?
Compliment;You have a nice smile.
Greeting;How's it going?
Weather;It's a perfect day for a walk.
Weekend Plans;Planning anything fun for Sunday?
General Inquiry;Keeping busy?
Compliment;That's a great idea.
Greeting;Nice to meet you.
